delivery_id,supplier_id,supplier_name,product_id,delivery_date,quantity_received,unit_cost
DEL-000478,SUP-101,Northgate Distribution Co.,96,2026-02-01,63,206.9
DEL-000046,SUP-104,Meridian Supply Partners,11,2026-02-01,71,131.55
DEL-001347,SUP-110,Vantage Point Supply Co.,273,2026-02-01,58,33.57
DEL-002453,SUP-104,Meridian Supply Partners,488,2026-02-01,38,61.57
DEL-001383,SUP-106,Silverline Import Group,279,2026-02-01,207,
DEL-002410,SUP-103,Atlas Consumer Goods,477,2026-02-01,1162,169.76
DEL-001200,SUP-110,Vantage Point Supply Co.,245,2026-02-01,79,106.13
DEL-001366,SUP-106,Silverline Import Group,275,2026-02-01,36,39.3
DEL-000361,SUP-109,Redstone Distribution,72,2026-02-02,169,126.55
DEL-001836,SUP-103,Atlas Consumer Goods,365,2026-02-02,226,166.96
DEL-000619,SUP-107,Crestwood Vendor Solutions,125,2026-02-02,183,162.04
DEL-001039,SUP-107,Crestwood Vendor Solutions,213,2026-02-02,56,50.01
DEL-002196,SUP-101,Northgate Distribution Co.,435,2026-02-03,79,233.67
DEL-000415,SUP-102,Pacific Rim Wholesale,85,2026-02-03,685,250.14
DEL-001974,SUP-104,Meridian Supply Partners,388,2026-02-03,1117,99.96
DEL-001793,SUP-107,Crestwood Vendor Solutions,358,2026-02-03,26,5.06
DEL-000304,SUP-103,Atlas Consumer Goods,63,2026-02-04,49,220.65
DEL-002051,SUP-106,Silverline Import Group,406,2026-02-04,194,123.28
DEL-000059,SUP-105,Union Trade Logistics,14,2026-02-04,117,228.98
DEL-002051,SUP-106,Silverline Import Group,406,2026-02-04,194,123.28
DEL-000505,SUP-105,Union Trade Logistics,101,2026-02-04,28,55.04
DEL-002273,SUP-110,Vantage Point Supply Co.,447,2026-02-04,182,209.15
DEL-001403,SUP-107,Crestwood Vendor Solutions,283,2026-02-04,262,13.42
DEL-001122,SUP-104,Meridian Supply Partners,230,2026-02-05,60,119.85
DEL-000503,SUP-105,Union Trade Logistics,101,2026-02-05,128,54.06
DEL-001182,SUP-107,Crestwood Vendor Solutions,243,2026-02-05,22,175.14
DEL-001684,SUP-105,Union Trade Logistics,336,2026-02-05,291,36.41
DEL-001679,SUP-104,Meridian Supply Partners,335,2026-02-05,1175,115.39
DEL-001274,SUP-102,Pacific Rim Wholesale,257,2026-02-05,255,225.87
DEL-000819,SUP-103,Atlas Consumer Goods,166,2026-02-06,173,213.8
DEL-001331,SUP-104,Meridian Supply Partners,270,2026-02-06,50,277.23
DEL-001290,SUP-108,Harborline Wholesale,262,2026-02-06,256,54.81
DEL-000320,SUP-110,Vantage Point Supply Co.,65,2026-02-07,163,129.48
DEL-000571,SUP-103,Atlas Consumer Goods,113,2026-02-07,20,148.48
DEL-000112,SUP-110,Vantage Point Supply Co.,23,2026-02-07,39,231.71
DEL-000928,SUP-107,Crestwood Vendor Solutions,187,2026-02-07,39,149.91
DEL-002097,SUP-104,Meridian Supply Partners,418,2026-02-07,29,90.03
DEL-001134,SUP-107,Crestwood Vendor Solutions,232,2026-02-07,77,189.65
DEL-000932,SUP-109,Redstone Distribution,188,2026-02-07,1045,
DEL-001422,SUP-108,Harborline Wholesale,286,2026-02-08,182,45.22
DEL-001560,SUP-105,Union Trade Logistics,313,2026-02-08,33,300.54
DEL-001029,SUP-107,Crestwood Vendor Solutions,212,2026-02-08,292,232.66
DEL-000457,SUP-102,Pacific Rim Wholesale,92,2026-02-08,737,230.33
DEL-002069,SUP-102,Pacific Rim Wholesale,410,2026-02-08,1121,96.87
DEL-000956,SUP-109,Redstone Distribution,195,2026-02-08,43,158.73
DEL-002462,SUP-101,Northgate Distribution Co.,491,2026-02-08,78,7.86
DEL-001792,SUP-102,Pacific Rim Wholesale,357,2026-02-09,266,110.14
DEL-001328,SUP-105,Union Trade Logistics,269,2026-02-09,38,22.22
DEL-001553,SUP-102,Pacific Rim Wholesale,312,2026-02-09,150,153.39
DEL-002144,SUP-107,Crestwood Vendor Solutions,426,2026-02-09,59,263.86
DEL-002136,SUP-101,Northgate Distribution Co.,424,2026-02-09,106,9.56
DEL-001619,SUP-101,Northgate Distribution Co.,323,2026-02-10,655,300.15
DEL-000814,SUP-103,Atlas Consumer Goods,166,2026-02-10,45,186.28
DEL-001866,SUP-107,Crestwood Vendor Solutions,371,2026-02-10,60,148.25
DEL-001745,SUP-103,Atlas Consumer Goods,349,2026-02-10,65,62.83
DEL-001577,SUP-105,Union Trade Logistics,315,2026-02-10,36,64.86
DEL-000767,SUP-106,Silverline Import Group,156,2026-02-10,131,202.77
DEL-001496,SUP-108,Harborline Wholesale,302,2026-02-10,75,296.31
DEL-001240,SUP-110,Vantage Point Supply Co.,252,2026-02-11,266,140.45
DEL-000388,SUP-105,Union Trade Logistics,77,2026-02-11,38,133.36
DEL-001743,SUP-109,Redstone Distribution,348,2026-02-11,31,183.21
DEL-002442,SUP-105,Union Trade Logistics,486,2026-02-11,134,199.76
DEL-000256,SUP-108,Harborline Wholesale,54,2026-02-11,259,167.5
DEL-000679,SUP-106,Silverline Import Group,136,2026-02-12,67,31.39
DEL-002498,SUP-110,Vantage Point Supply Co.,497,2026-02-12,69,225.8
DEL-000773,SUP-107,Crestwood Vendor Solutions,157,2026-02-12,52,178.33
DEL-000264,SUP-109,Redstone Distribution,55,2026-02-12,26,220.47
DEL-001589,SUP-105,Union Trade Logistics,317,2026-02-12,37,125.02
DEL-001993,SUP-103,Atlas Consumer Goods,394,2026-02-13,29,108.81
DEL-001692,SUP-105,Union Trade Logistics,336,2026-02-13,78,36.37
DEL-001147,SUP-107,Crestwood Vendor Solutions,235,2026-02-13,201,134.59
DEL-002111,SUP-107,Crestwood Vendor Solutions,420,2026-02-13,30,139.81
DEL-000982,SUP-110,Vantage Point Supply Co.,202,2026-02-13,44,91.62
DEL-001020,SUP-104,Meridian Supply Partners,210,2026-02-13,152,16.68
DEL-001872,SUP-107,Crestwood Vendor Solutions,371,2026-02-13,1084,
DEL-002272,SUP-110,Vantage Point Supply Co.,447,2026-02-13,33,200.88
DEL-001352,SUP-110,Vantage Point Supply Co.,273,2026-02-13,159,37.08
DEL-001861,SUP-107,Crestwood Vendor Solutions,370,2026-02-13,31,215.2
DEL-001601,SUP-101,Northgate Distribution Co.,320,2026-02-13,78,69.26
DEL-001288,SUP-104,Meridian Supply Partners,261,2026-02-14,44,149.58
DEL-001018,SUP-101,Northgate Distribution Co.,209,2026-02-14,727,245.97
DEL-000564,SUP-107,Crestwood Vendor Solutions,112,2026-02-14,63,122.44
DEL-001528,SUP-102,Pacific Rim Wholesale,308,2026-02-14,63,50.21
DEL-001991,SUP-108,Harborline Wholesale,393,2026-02-14,269,69.85
DEL-000629,SUP-105,Union Trade Logistics,126,2026-02-14,273,242.56
DEL-002203,SUP-105,Union Trade Logistics,436,2026-02-15,279,233.11
DEL-002169,SUP-110,Vantage Point Supply Co.,430,2026-02-15,233,98.96
DEL-002286,SUP-104,Meridian Supply Partners,449,2026-02-15,65,260.17
DEL-002225,SUP-105,Union Trade Logistics,439,2026-02-15,70,115.49
DEL-001190,SUP-108,Harborline Wholesale,244,2026-02-15,245,166.65
DEL-001825,SUP-103,Atlas Consumer Goods,363,2026-02-15,1150,218.46
DEL-001825,SUP-103,Atlas Consumer Goods,363,2026-02-15,1150,218.46
DEL-000404,SUP-101,Northgate Distribution Co.,81,2026-02-16,75,163.54
DEL-000922,SUP-107,Crestwood Vendor Solutions,185,2026-02-16,40,252.82
DEL-000807,SUP-103,Atlas Consumer Goods,164,2026-02-16,261,27.58
DEL-002478,SUP-108,Harborline Wholesale,493,2026-02-16,64,56.98
DEL-002246,SUP-110,Vantage Point Supply Co.,443,2026-02-16,62,187.69
DEL-001170,SUP-105,Union Trade Logistics,241,2026-02-16,130,85.65
DEL-000963,SUP-103,Atlas Consumer Goods,197,2026-02-16,70,26.39
DEL-002481,SUP-104,Meridian Supply Partners,494,2026-02-17,162,136.85
DEL-002413,SUP-101,Northgate Distribution Co.,478,2026-02-17,55,129.42
DEL-001945,SUP-110,Vantage Point Supply Co.,384,2026-02-17,74,152.11
DEL-001983,SUP-109,Redstone Distribution,391,2026-02-17,72,289.49
DEL-001965,SUP-109,Redstone Distribution,386,2026-02-17,50,82.77
DEL-001265,SUP-102,Pacific Rim Wholesale,257,2026-02-17,198,211.57
DEL-000434,SUP-105,Union Trade Logistics,88,2026-02-17,58,284.35
DEL-000838,SUP-101,Northgate Distribution Co.,170,2026-02-17,38,273.87
DEL-001613,SUP-101,Northgate Distribution Co.,323,2026-02-18,130,287.18
DEL-002049,SUP-106,Silverline Import Group,406,2026-02-18,36,117.28
DEL-000791,SUP-106,Silverline Import Group,160,2026-02-18,219,53.63
DEL-002455,SUP-104,Meridian Supply Partners,488,2026-02-18,205,64.92
DEL-000116,SUP-110,Vantage Point Supply Co.,23,2026-02-18,79,205.62
