delivery_id,supplier_id,supplier_name,product_id,delivery_date,quantity_received,unit_cost
DEL-002124,SUP-105,Union Trade Logistics,422,2026-03-01,71,53.79
DEL-002039,SUP-104,Meridian Supply Partners,404,2026-03-01,52,108.04
DEL-001312,SUP-103,Atlas Consumer Goods,267,2026-03-01,256,15.92
DEL-002130,SUP-105,Union Trade Logistics,422,2026-03-01,38,49.98
DEL-000513,SUP-104,Meridian Supply Partners,102,2026-03-01,30,99.49
DEL-000053,SUP-107,Crestwood Vendor Solutions,13,2026-03-01,34,223.56
DEL-001338,SUP-102,Pacific Rim Wholesale,272,2026-03-01,56,74.21
DEL-000890,SUP-109,Redstone Distribution,177,2026-03-01,282,168.88
DEL-002470,SUP-105,Union Trade Logistics,492,2026-03-01,64,186.31
DEL-000967,SUP-107,Crestwood Vendor Solutions,198,2026-03-01,76,231.06
DEL-000781,SUP-101,Northgate Distribution Co.,158,2026-03-01,78,153.81
DEL-000300,SUP-109,Redstone Distribution,61,2026-03-02,55,221.02
DEL-002415,SUP-108,Harborline Wholesale,479,2026-03-02,64,114.1
DEL-000694,SUP-109,Redstone Distribution,138,2026-03-02,156,57.66
DEL-001371,SUP-106,Silverline Import Group,275,2026-03-02,73,38.95
DEL-001871,SUP-107,Crestwood Vendor Solutions,371,2026-03-02,40,145.44
DEL-000390,SUP-108,Harborline Wholesale,78,2026-03-02,64,65.86
DEL-002072,SUP-109,Redstone Distribution,411,2026-03-02,290,213.02
DEL-000994,SUP-109,Redstone Distribution,203,2026-03-03,76,4.42
DEL-002056,SUP-108,Harborline Wholesale,408,2026-03-03,190,200.7
DEL-001045,SUP-103,Atlas Consumer Goods,214,2026-03-03,44,262.78
DEL-000795,SUP-104,Meridian Supply Partners,161,2026-03-03,179,126.48
DEL-001181,SUP-106,Silverline Import Group,243,2026-03-03,24,167.65
DEL-001005,SUP-109,Redstone Distribution,205,2026-03-03,21,
DEL-000939,SUP-106,Silverline Import Group,190,2026-03-03,72,169.15
DEL-000155,SUP-105,Union Trade Logistics,32,2026-03-03,44,45.01
DEL-002452,SUP-104,Meridian Supply Partners,487,2026-03-03,37,298.03
DEL-000711,SUP-102,Pacific Rim Wholesale,142,2026-03-03,67,214.43
DEL-001830,SUP-108,Harborline Wholesale,364,2026-03-04,179,177.42
DEL-000239,SUP-103,Atlas Consumer Goods,51,2026-03-04,53,53.59
DEL-000400,SUP-101,Northgate Distribution Co.,81,2026-03-04,59,169.51
DEL-000322,SUP-108,Harborline Wholesale,66,2026-03-04,221,272.87
DEL-002059,SUP-103,Atlas Consumer Goods,409,2026-03-04,32,275.1
DEL-000166,SUP-109,Redstone Distribution,34,2026-03-04,190,37.95
DEL-000677,SUP-102,Pacific Rim Wholesale,135,2026-03-05,31,121.1
DEL-000151,SUP-105,Union Trade Logistics,32,2026-03-05,25,42.89
DEL-002424,SUP-102,Pacific Rim Wholesale,480,2026-03-05,298,109.93
DEL-001378,SUP-101,Northgate Distribution Co.,277,2026-03-05,43,79.76
DEL-002311,SUP-110,Vantage Point Supply Co.,454,2026-03-05,290,45.12
DEL-000436,SUP-104,Meridian Supply Partners,89,2026-03-05,134,80.36
DEL-001925,SUP-105,Union Trade Logistics,381,2026-03-05,834,209.28
DEL-002046,SUP-106,Silverline Import Group,406,2026-03-05,64,118.3
DEL-001715,SUP-110,Vantage Point Supply Co.,341,2026-03-06,1175,35.96
DEL-001999,SUP-109,Redstone Distribution,395,2026-03-06,257,109.22
DEL-001173,SUP-105,Union Trade Logistics,241,2026-03-06,72,75.87
