delivery_id,supplier_id,supplier_name,product_id,delivery_date,quantity_received,unit_cost
DEL-001939,SUP-105,Union Trade Logistics,382,2026-07-01,45,102.27
DEL-001923,SUP-105,Union Trade Logistics,381,2026-07-01,43,221.38
DEL-002300,SUP-101,Northgate Distribution Co.,452,2026-07-01,282,127.08
DEL-002368,SUP-107,Crestwood Vendor Solutions,466,2026-07-01,54,256.09
DEL-001476,SUP-102,Pacific Rim Wholesale,299,2026-07-01,253,69.42
DEL-001771,SUP-108,Harborline Wholesale,353,2026-07-01,191,3.35
DEL-000977,SUP-104,Meridian Supply Partners,200,2026-07-01,293,152.77
DEL-001297,SUP-110,Vantage Point Supply Co.,263,2026-07-01,263,55.82
DEL-000857,SUP-104,Meridian Supply Partners,173,2026-07-01,139,205.9
DEL-001044,SUP-103,Atlas Consumer Goods,214,2026-07-01,41,255.55
DEL-001472,SUP-108,Harborline Wholesale,298,2026-07-02,886,116.37
DEL-001724,SUP-108,Harborline Wholesale,344,2026-07-02,39,271.37
DEL-002010,SUP-107,Crestwood Vendor Solutions,397,2026-07-02,293,53.73
DEL-001540,SUP-104,Meridian Supply Partners,309,2026-07-02,29,250.13
DEL-001604,SUP-108,Harborline Wholesale,321,2026-07-02,77,207.77
DEL-001095,SUP-105,Union Trade Logistics,226,2026-07-03,63,193.98
DEL-001031,SUP-107,Crestwood Vendor Solutions,212,2026-07-03,60,206.64
DEL-001172,SUP-105,Union Trade Logistics,241,2026-07-03,21,85.77
DEL-001341,SUP-102,Pacific Rim Wholesale,272,2026-07-03,34,71.95
DEL-002217,SUP-102,Pacific Rim Wholesale,437,2026-07-04,1113,85.48
DEL-001905,SUP-109,Redstone Distribution,378,2026-07-04,39,205.75
DEL-001956,SUP-103,Atlas Consumer Goods,385,2026-07-04,67,157.31
DEL-001846,SUP-102,Pacific Rim Wholesale,366,2026-07-04,262,109.87
DEL-002269,SUP-110,Vantage Point Supply Co.,447,2026-07-04,1116,183.37
DEL-001155,SUP-110,Vantage Point Supply Co.,236,2026-07-04,72,139.51
DEL-000153,SUP-105,Union Trade Logistics,32,2026-07-04,39,42.56
DEL-001961,SUP-103,Atlas Consumer Goods,385,2026-07-05,25,174.96
DEL-000512,SUP-102,Pacific Rim Wholesale,102,2026-07-05,76,99.57
DEL-000465,SUP-107,Crestwood Vendor Solutions,93,2026-07-05,60,56.97
DEL-000435,SUP-104,Meridian Supply Partners,89,2026-07-05,141,89.13
DEL-001961,SUP-103,Atlas Consumer Goods,385,2026-07-05,25,174.96
DEL-000439,SUP-109,Redstone Distribution,89,2026-07-05,58,82.13
DEL-000721,SUP-110,Vantage Point Supply Co.,144,2026-07-06,74,240.99
DEL-000592,SUP-109,Redstone Distribution,118,2026-07-06,280,39.71
DEL-001772,SUP-108,Harborline Wholesale,354,2026-07-07,54,231.33
DEL-001042,SUP-103,Atlas Consumer Goods,214,2026-07-07,507,252.25
DEL-002354,SUP-108,Harborline Wholesale,464,2026-07-07,47,175.65
DEL-002077,SUP-103,Atlas Consumer Goods,413,2026-07-07,68,81.43
DEL-002483,SUP-101,Northgate Distribution Co.,495,2026-07-07,178,48.44
DEL-002245,SUP-110,Vantage Point Supply Co.,443,2026-07-07,144,180.25
DEL-001544,SUP-108,Harborline Wholesale,310,2026-07-07,144,286.69
DEL-001558,SUP-105,Union Trade Logistics,313,2026-07-08,52,264.99
DEL-001760,SUP-101,Northgate Distribution Co.,351,2026-07-08,47,200.08
DEL-000683,SUP-103,Atlas Consumer Goods,137,2026-07-08,1167,
DEL-001293,SUP-108,Harborline Wholesale,262,2026-07-08,20,57.15
DEL-002177,SUP-104,Meridian Supply Partners,431,2026-07-09,188,190.77
DEL-001593,SUP-101,Northgate Distribution Co.,318,2026-07-09,40,12.5
DEL-001468,SUP-109,Redstone Distribution,297,2026-07-09,264,64.59
DEL-001450,SUP-110,Vantage Point Supply Co.,292,2026-07-09,27,222.28
DEL-000210,SUP-107,Crestwood Vendor Solutions,43,2026-07-09,73,122.01
DEL-000342,SUP-101,Northgate Distribution Co.,69,2026-07-09,257,191.21
DEL-000303,SUP-105,Union Trade Logistics,62,2026-07-09,61,50.21
DEL-000347,SUP-110,Vantage Point Supply Co.,70,2026-07-09,80,177.94
DEL-001924,SUP-105,Union Trade Logistics,381,2026-07-10,33,219.72
DEL-001027,SUP-104,Meridian Supply Partners,212,2026-07-10,290,219.86
DEL-001284,SUP-104,Meridian Supply Partners,261,2026-07-10,36,149.36
DEL-000776,SUP-107,Crestwood Vendor Solutions,157,2026-07-10,612,182.38
DEL-001159,SUP-108,Harborline Wholesale,237,2026-07-10,26,223.86
DEL-001037,SUP-108,Harborline Wholesale,213,2026-07-10,206,46.0
DEL-002495,SUP-110,Vantage Point Supply Co.,497,2026-07-10,71,255.75
DEL-001927,SUP-105,Union Trade Logistics,381,2026-07-11,70,218.69
DEL-000742,SUP-107,Crestwood Vendor Solutions,148,2026-07-11,192,330.94
DEL-000472,SUP-107,Crestwood Vendor Solutions,94,2026-07-11,56,288.15
DEL-000472,SUP-107,Crestwood Vendor Solutions,94,2026-07-11,56,288.15
DEL-001391,SUP-108,Harborline Wholesale,279,2026-07-11,234,8.77
DEL-001277,SUP-104,Meridian Supply Partners,259,2026-07-12,794,157.69
DEL-002467,SUP-101,Northgate Distribution Co.,491,2026-07-12,131,8.53
DEL-001064,SUP-102,Pacific Rim Wholesale,218,2026-07-12,23,100.07
DEL-000762,SUP-102,Pacific Rim Wholesale,154,2026-07-12,55,181.77
DEL-001349,SUP-110,Vantage Point Supply Co.,273,2026-07-12,77,35.93
DEL-000703,SUP-105,Union Trade Logistics,141,2026-07-12,20,204.15
DEL-001165,SUP-109,Redstone Distribution,239,2026-07-12,46,213.49
DEL-002104,SUP-107,Crestwood Vendor Solutions,420,2026-07-12,141,131.15
DEL-000627,SUP-105,Union Trade Logistics,126,2026-07-12,33,241.18
DEL-001954,SUP-110,Vantage Point Supply Co.,384,2026-07-13,62,173.8
DEL-001052,SUP-104,Meridian Supply Partners,216,2026-07-13,63,333.07
DEL-000584,SUP-101,Northgate Distribution Co.,117,2026-07-13,20,178.32
DEL-001759,SUP-101,Northgate Distribution Co.,351,2026-07-13,74,193.33
DEL-001838,SUP-103,Atlas Consumer Goods,365,2026-07-13,21,170.96
DEL-002290,SUP-110,Vantage Point Supply Co.,450,2026-07-13,47,279.02
DEL-000785,SUP-101,Northgate Distribution Co.,158,2026-07-13,41,150.31
DEL-001954,SUP-110,Vantage Point Supply Co.,384,2026-07-13,62,173.8
DEL-000666,SUP-109,Redstone Distribution,133,2026-07-13,109,76.36
DEL-000291,SUP-105,Union Trade Logistics,60,2026-07-13,35,210.43
DEL-000800,SUP-106,Silverline Import Group,162,2026-07-13,27,130.44
DEL-000250,SUP-107,Crestwood Vendor Solutions,53,2026-07-14,605,24.19
DEL-002171,SUP-110,Vantage Point Supply Co.,431,2026-07-14,156,216.69
DEL-002446,SUP-101,Northgate Distribution Co.,486,2026-07-14,57,192.52
DEL-001062,SUP-102,Pacific Rim Wholesale,218,2026-07-14,38,106.5
DEL-002045,SUP-107,Crestwood Vendor Solutions,405,2026-07-14,196,129.34
DEL-001507,SUP-106,Silverline Import Group,304,2026-07-15,78,324.98
DEL-001418,SUP-108,Harborline Wholesale,286,2026-07-15,30,42.24
DEL-001188,SUP-108,Harborline Wholesale,244,2026-07-15,233,154.78
DEL-000084,SUP-106,Silverline Import Group,18,2026-07-16,27,45.96
DEL-000869,SUP-104,Meridian Supply Partners,174,2026-07-16,47,197.63
DEL-002100,SUP-104,Meridian Supply Partners,419,2026-07-16,32,132.53
DEL-000903,SUP-103,Atlas Consumer Goods,180,2026-07-17,62,192.76
DEL-000533,SUP-102,Pacific Rim Wholesale,105,2026-07-17,58,223.86
DEL-001703,SUP-103,Atlas Consumer Goods,338,2026-07-17,185,128.74
DEL-000033,SUP-109,Redstone Distribution,9,2026-07-18,22,183.75
DEL-000873,SUP-106,Silverline Import Group,175,2026-07-18,75,80.78
DEL-000033,SUP-109,Redstone Distribution,9,2026-07-18,22,183.75
DEL-001082,SUP-108,Harborline Wholesale,222,2026-07-18,30,139.35
DEL-002082,SUP-105,Union Trade Logistics,414,2026-07-18,65,217.53
DEL-000606,SUP-110,Vantage Point Supply Co.,121,2026-07-18,52,81.58
DEL-001878,SUP-106,Silverline Import Group,373,2026-07-18,58,77.7
DEL-000964,SUP-107,Crestwood Vendor Solutions,197,2026-07-19,230,25.01
DEL-000079,SUP-106,Silverline Import Group,18,2026-07-19,135,41.22
DEL-001687,SUP-105,Union Trade Logistics,336,2026-07-19,154,33.28
DEL-001934,SUP-105,Union Trade Logistics,382,2026-07-19,72,96.69
DEL-000621,SUP-107,Crestwood Vendor Solutions,125,2026-07-19,127,147.05
