product_id,product_name,category,brand,price,created_timestamp,updated_timestamp,is_active
501,Your Make Product,Grocery,Apple,1223.45,2027-01-18 04:39:23,2027-01-24 04:39:23,Y
502,Act Certain Product,Electronics,Sony,1206.43,2027-01-14 13:11:11,2027-01-17 13:11:11,Y
503,Stuff Discuss Product,Clothing,LG,1095.63,2027-01-13 08:09:55,2027-01-31 23:59:59,Y
504,Agree Artist Product,Clothing,Adidas,671.47,2027-01-28 13:48:21,2027-01-31 23:59:59,Y
505,Special Home Product,Home,Adidas,1002.11,2027-01-28 00:01:24,2027-01-31 23:59:59,Y
506,Direction Stuff Product,Electronics,Nestle,1055.58,2027-01-27 21:39:01,2027-01-31 23:59:59,Y
507,Else Anything Product,Sports,Apple,1190.02,2027-01-14 08:07:42,2027-01-31 23:59:59,Y
508,Simple Around Product,Electronics,Samsung,720.82,2027-01-19 19:12:30,2027-01-31 23:59:59,Y
509,Action Total Product,Clothing,Nestle,1069.56,2027-01-12 01:28:19,2027-01-30 01:28:19,Y
510,At Several Product,Electronics,Nike,1047.25,2027-01-23 03:45:44,2027-01-31 23:59:59,Y
511,Challenge Industry Product,Sports,Nike,550.84,2027-01-15 06:54:26,2027-01-31 23:59:59,Y
512,Social Pay Product,Clothing,LG,1312.11,2027-01-19 07:58:04,2027-01-30 07:58:04,Y
513,Suddenly Animal Product,Grocery,Samsung,1469.58,2027-01-10 17:20:38,2027-01-31 23:59:59,Y
514,Point Century Product,Home,Apple,1077.64,2027-01-10 10:24:02,2027-01-17 10:24:02,Y
515,Training For Product,Clothing,Samsung,765.23,2027-01-18 02:38:08,2027-01-30 02:38:08,Y
516,Woman Camera Product,Clothing,Sony,314.92,2027-01-29 21:52:52,2027-01-31 23:59:59,Y
517,Act Continue Product,Sports,Sony,688.94,2027-01-04 22:01:11,2027-01-12 22:01:11,Y
518,Store Again Product,Toys,Adidas,1245.39,2027-01-16 22:04:10,2027-01-31 23:59:59,Y
519,Mind Science Product,Toys,Adidas,398.07,2027-01-08 10:37:18,2027-01-31 23:59:59,Y
520,Interview Most Product,Electronics,Samsung,480.42,2027-01-14 20:16:10,2027-01-31 23:59:59,Y
521,Weight Everything Product,Electronics,Samsung,376.37,2027-01-27 07:40:48,2027-01-31 23:59:59,Y
522,Statement Wonder Product,Clothing,Nestle,342.45,2027-01-08 11:53:11,2027-01-28 11:53:11,Y
523,Hot Top Product,Home,Adidas,619.35,2027-01-06 03:19:13,2027-01-29 03:19:13,Y
524,Responsibility Miss Product,Electronics,Samsung,352.86,2027-01-05 20:38:24,2027-01-31 23:59:59,Y
525,Price Impact Product,Sports,Samsung,1224.83,2027-01-24 06:56:25,2027-01-31 23:59:59,Y
526,Research Leader Product,Clothing,Adidas,22.26,2027-01-19 14:53:42,2027-01-31 23:59:59,Y
527,Fact Clearly Product,Grocery,Nike,565.88,2027-01-06 02:30:57,2027-01-14 02:30:57,Y
528,Choice Big Product,Electronics,Sony,102.49,2027-01-27 04:27:40,2027-01-31 23:59:59,Y
529,Keep Wrong Product,Grocery,LG,1381.62,2027-01-05 19:27:50,2027-01-31 23:59:59,Y
530,With Mr Product,Home,Sony,1056.78,2027-01-19 17:01:05,2027-01-26 17:01:05,Y
531,Season Four Product,Clothing,Adidas,235.93,2027-01-15 18:15:55,2027-01-29 18:15:55,Y
532,Recently Store Product,Sports,Nestle,1206.21,2027-01-22 11:52:02,2027-01-31 23:59:59,Y
533,Animal Street Product,Home,Samsung,1417.34,2027-01-03 07:32:53,2027-01-31 23:59:59,Y
534,Drug Would Product,Toys,LG,46.81,2027-01-04 07:33:50,2027-01-31 23:59:59,Y
535,Spring Camera Product,Toys,Nestle,767.89,2027-01-26 14:31:18,2027-01-31 23:59:59,Y
536,Catch Appear Product,Sports,Samsung,951.11,2027-01-03 04:02:08,2027-01-07 04:02:08,Y
537,Board Law Product,Grocery,Sony,604.52,2027-01-30 21:45:38,2027-01-31 23:59:59,Y
538,Option Class Product,Electronics,Adidas,940.98,2027-01-12 13:54:13,2027-01-31 23:59:59,Y
539,Similar Want Product,Home,LG,396.26,2027-01-08 01:31:17,2027-01-31 23:59:59,Y
540,Always Spring Product,Grocery,Adidas,951.13,2027-01-27 00:08:36,2027-01-31 23:59:59,Y
541,Time Majority Product,Electronics,Apple,477.76,2027-01-30 17:40:18,2027-01-31 23:59:59,Y
542,Discover Ago Product,Sports,Adidas,868.07,2027-01-01 20:04:45,2027-01-31 23:59:59,Y
543,Whom Player Product,Electronics,Adidas,929.22,2027-01-13 13:27:59,2027-01-31 23:59:59,Y
544,Skin Tonight Product,Clothing,Adidas,221.37,2027-01-01 01:41:25,2027-01-08 01:41:25,Y
545,Experience Number Product,Grocery,Adidas,1457.52,2027-01-22 13:46:39,2027-01-31 23:59:59,Y
546,Know Gun Product,Sports,Adidas,628.43,2027-01-13 05:41:59,2027-01-31 23:59:59,Y
547,Daughter Since Product,Electronics,Apple,608.35,2027-01-01 21:55:49,2027-01-31 23:59:59,Y
548,Strong Occur Product,Electronics,Apple,580.45,2027-01-05 00:17:31,2027-01-31 23:59:59,Y
549,Environment Book Product,Grocery,Nestle,396.54,2027-01-06 23:48:27,2027-01-20 23:48:27,Y
550,Seek Quality Product,Toys,LG,1036.29,2027-01-26 21:40:11,2027-01-31 23:59:59,Y
551,Current Hit Product,Grocery,Samsung,475.66,2027-01-18 23:21:52,2027-01-31 23:59:59,Y
