order_id,customer_id,store_id,order_timestamp,payment_method,order_status,total_amount,created_timestamp,updated_timestamp,is_active
10001,426,23,2027-01-09 09:15:05,Gift Card,Returned,813.4,2027-01-27 08:28:48,2027-01-27 21:28:48,Y
10002,1130,17,2027-01-08 12:17:49,Credit Card,Cancelled,1668.87,2027-01-04 19:44:09,2027-01-05 08:44:09,Y
10003,357,8,2027-01-30 02:56:48,Cash,Returned,1030.52,2027-01-03 13:32:42,2027-01-05 17:32:42,Y
10004,489,19,2027-01-09 01:41:51,Cash,Pending,2822.5,2027-01-03 05:49:05,2027-01-05 03:49:05,Y
10005,1258,14,2027-01-07 00:20:52,Debit Card,Completed,2262.52,2027-01-17 01:29:11,2027-01-18 10:29:11,Y
10006,1716,17,2027-01-18 13:16:57,Online,Returned,2195.67,2027-01-20 08:43:45,2027-01-22 10:43:45,Y
10007,778,13,2027-01-16 10:28:01,Gift Card,Cancelled,2554.45,2027-01-14 06:45:57,2027-01-16 07:45:57,Y
10008,1294,13,2027-01-16 00:56:15,Cash,Completed,2215.84,2027-01-25 16:33:49,2027-01-26 00:33:49,Y
10009,1733,3,2027-01-23 04:11:53,Online,Returned,4053.59,2027-01-13 13:34:26,2027-01-14 23:34:26,Y
10010,228,22,2027-01-16 05:06:22,Cash,Completed,1855.81,2027-01-03 14:18:39,2027-01-06 12:18:39,Y
10011,885,3,2027-01-05 05:44:40,Credit Card,Pending,2229.04,2027-01-27 17:42:28,2027-01-28 00:42:28,Y
10012,559,24,2027-01-06 18:23:11,Gift Card,Returned,94.98,2027-01-27 19:39:12,2027-01-29 21:39:12,Y
10013,480,21,2027-01-28 11:32:28,Online,Returned,938.52,2027-01-30 02:55:11,2027-01-31 23:59:59,Y
10014,259,8,2027-01-06 00:38:57,Credit Card,Completed,2496.03,2027-01-18 20:30:01,2027-01-20 02:30:01,Y
10015,1418,13,2027-01-04 02:05:14,Gift Card,Cancelled,2485.69,2027-01-07 05:18:00,2027-01-07 13:18:00,Y
10016,1611,14,2027-01-24 18:10:38,Debit Card,Pending,2514.44,2027-01-07 04:44:39,2027-01-08 08:44:39,Y
10017,1382,6,2027-01-13 22:09:39,Online,Returned,1244.87,2027-01-17 20:51:09,2027-01-18 11:51:09,Y
10018,1267,5,2027-01-07 07:32:45,Cash,Completed,217.35,2027-01-17 11:24:38,2027-01-19 19:24:38,Y
10019,350,3,2027-01-17 13:34:55,Online,Returned,70.28,2027-01-26 20:05:58,2027-01-28 08:05:58,Y
10020,1890,21,2027-01-07 09:30:34,Credit Card,Pending,1210.34,2027-01-09 08:43:45,2027-01-11 11:43:45,Y
10021,1033,10,2027-01-02 04:59:02,Cash,Pending,1845.38,2027-01-22 23:04:59,2027-01-25 13:04:59,Y
10022,1879,24,2027-01-08 14:57:14,Online,Completed,326.06,2027-01-04 13:09:47,2027-01-06 10:09:47,Y
10023,900,2,2027-01-07 02:39:37,Debit Card,Returned,3927.32,2027-01-19 03:09:29,2027-01-20 08:09:29,Y
10024,1781,25,2027-01-24 08:52:58,Credit Card,Cancelled,469.24,2027-01-04 06:19:49,2027-01-05 16:19:49,Y
